Cont,Targ,Total,Type,it,l,m,mu,0.1,1.1,2.1,3.1,4.1,5.1,6.1,7.1,8.1,9.1,10.1,11.1,12.1,13.1,14.1,15.1,16.1,17.1,18.1,19.1,20.1,21.1,22.1,23.1,24.1,25.1,26.1,27.1,28.1,29.1,30.1,31.1,32.1,33.1,34.1,35.1,36.1,37.1,38.1,39.1,40.1,41.1,42.1,43.1,44.1,45.1,46.1,47.1,48.1,49.1,50.1
PU,SG,PU,L,1,1,-1,1,(-1.7757076+0.63474768j),(1.1629411-1.3536696j),(-0.67206736-1.5510867j),(-1.1575324-1.107067j),(-1.2756814-0.8222634j),(-1.2812193-0.65345031j),(-1.2458736-0.55363257j),(-1.194521-0.49578904j),(-1.1372859-0.4645849j),(-1.0788283-0.45093199j),(-1.0215038-0.44917215j),(-0.96658241-0.45561598j),(-0.914768-0.46775578j),(-0.8664413-0.48382351j),(-0.82178344-0.50253208j),(-0.78084396-0.52291827j),(-0.74358153-0.54424449j),(-0.70989018-0.56593542j),(-0.67961724-0.58753627j),(-0.65257642-0.60868475j),(-0.6285578-0.62909188j),(-0.60733584-0.64852853j),(-0.588676-0.66681581j),(-0.57234039-0.68381767j),(-0.55809256-0.69943523j),(-0.54570155-0.7136019j),(-0.53494519-0.72627923j),(-0.52561275-0.73745299j),(-0.51750696-0.7471296j),(-0.51044546-0.75533287j),(-0.50426146-0.76210091j),(-0.49880421-0.76748321j),(-0.49393887-0.77153823j),(-0.48954597-0.77433102j),(-0.48552088-0.77593124j),(-0.48177277-0.77641155j),(-0.47822364-0.77584598j),(-0.47480729-0.77430896j),(-0.47146809-0.77187415j),(-0.46816-0.7686138j),(-0.46484538-0.76459806j),(-0.46149414-0.7598946j),(-0.45808257-0.75456823j),(-0.45459276-0.74868072j),(-0.4510115-0.74229062j),(-0.44732985-0.73545326j),(-0.4435423-0.72822061j),(-0.43964632-0.72064152j),(-0.43564182-0.71276154j),(-0.43153069-0.70462323j),(-0.42731653-0.69626607j)
PU,SG,PU,L,1,1,1,-1,(-1.7757076+0.63474768j),(1.1629411-1.3536696j),(-0.67206736-1.5510867j),(-1.1575324-1.107067j),(-1.2756814-0.8222634j),(-1.2812193-0.65345031j),(-1.2458736-0.55363257j),(-1.194521-0.49578904j),(-1.1372859-0.4645849j),(-1.0788283-0.45093199j),(-1.0215038-0.44917215j),(-0.96658241-0.45561598j),(-0.914768-0.46775578j),(-0.8664413-0.48382351j),(-0.82178344-0.50253208j),(-0.78084396-0.52291827j),(-0.74358153-0.54424449j),(-0.70989018-0.56593542j),(-0.67961724-0.58753627j),(-0.65257642-0.60868475j),(-0.6285578-0.62909188j),(-0.60733584-0.64852853j),(-0.588676-0.66681581j),(-0.57234039-0.68381767j),(-0.55809256-0.69943523j),(-0.54570155-0.7136019j),(-0.53494519-0.72627923j),(-0.52561275-0.73745299j),(-0.51750696-0.7471296j),(-0.51044546-0.75533287j),(-0.50426146-0.76210091j),(-0.49880421-0.76748321j),(-0.49393887-0.77153823j),(-0.48954597-0.77433102j),(-0.48552088-0.77593124j),(-0.48177277-0.77641155j),(-0.47822364-0.77584598j),(-0.47480729-0.77430896j),(-0.47146809-0.77187415j),(-0.46816-0.7686138j),(-0.46484538-0.76459806j),(-0.46149414-0.7598946j),(-0.45808257-0.75456823j),(-0.45459276-0.74868072j),(-0.4510115-0.74229062j),(-0.44732985-0.73545326j),(-0.4435423-0.72822061j),(-0.43964632-0.72064152j),(-0.43564182-0.71276154j),(-0.43153069-0.70462323j),(-0.42731653-0.69626607j)
PU,SG,PU,L,1,3,-1,1,(0.075363389+0.6021713j),(-0.80272541-0.016978722j),(-0.072798769+0.96613172j),(0.62178534+0.92367734j),(1.0383115+0.68128701j),(1.2932252+0.41110179j),(1.4524474+0.15124511j),(1.5498416-0.090009762j),(1.6037399-0.31167223j),(1.6248872-0.51436619j),(1.6201976-0.69887631j),(1.5945771-0.86585297j),(1.5518258-1.0158272j),(1.4950869-1.1492841j),(1.4270721-1.2667249j),(1.3501736-1.3687037j),(1.2665227-1.4558433j),(1.1780219-1.5288366j),(1.0863643-1.5884403j),(0.99304778-1.6354647j),(0.89938642-1.6707618j),(0.80652001-1.6952125j),(0.71542349-1.7097149j),(0.62691622-1.7151718j),(0.54167153-1.7124791j),(0.46022694-1.7025157j),(0.38299504-1.6861331j),(0.31027487-1.6641472j),(0.24226381-1.6373312j),(0.17906977-1.6064101j),(0.12072333-1.5720569j),(0.067189261-1.53489j),(0.018377844-1.4954728j),(-0.025844754-1.4543134j),(-0.065647229-1.4118662j),(-0.10122443-1.3685345j),(-0.13279018-1.3246727j),(-0.16057081-1.2805898j),(-0.18479973-1.2365531j),(-0.20571308-1.1927912j),(-0.22354584-1.1494984j),(-0.2385292-1.1068375j),(-0.25088796-1.0649433j),(-0.26083909-1.0239262j),(-0.26859024-0.98387447j),(-0.27433903-0.94485749j),(-0.27827234-0.90692783j),(-0.28056622-0.87012372j),(-0.2813856-0.83447085j),(-0.28088455-0.7999843j),(-0.27920638-0.76666999j)
PU,SG,PU,L,1,3,1,-1,(0.075363389+0.6021713j),(-0.80272541-0.016978722j),(-0.072798769+0.96613172j),(0.62178534+0.92367734j),(1.0383115+0.68128701j),(1.2932252+0.41110179j),(1.4524474+0.15124511j),(1.5498416-0.090009762j),(1.6037399-0.31167223j),(1.6248872-0.51436619j),(1.6201976-0.69887631j),(1.5945771-0.86585297j),(1.5518258-1.0158272j),(1.4950869-1.1492841j),(1.4270721-1.2667249j),(1.3501736-1.3687037j),(1.2665227-1.4558433j),(1.1780219-1.5288366j),(1.0863643-1.5884403j),(0.99304778-1.6354647j),(0.89938642-1.6707618j),(0.80652001-1.6952125j),(0.71542349-1.7097149j),(0.62691622-1.7151718j),(0.54167153-1.7124791j),(0.46022694-1.7025157j),(0.38299504-1.6861331j),(0.31027487-1.6641472j),(0.24226381-1.6373312j),(0.17906977-1.6064101j),(0.12072333-1.5720569j),(0.067189261-1.53489j),(0.018377844-1.4954728j),(-0.025844754-1.4543134j),(-0.065647229-1.4118662j),(-0.10122443-1.3685345j),(-0.13279018-1.3246727j),(-0.16057081-1.2805898j),(-0.18479973-1.2365531j),(-0.20571308-1.1927912j),(-0.22354584-1.1494984j),(-0.2385292-1.1068375j),(-0.25088796-1.0649433j),(-0.26083909-1.0239262j),(-0.26859024-0.98387447j),(-0.27433903-0.94485749j),(-0.27827234-0.90692783j),(-0.28056622-0.87012372j),(-0.2813856-0.83447085j),(-0.28088455-0.7999843j),(-0.27920638-0.76666999j)
PU,SG,PU,L,1,5,-1,1,(8.2730333e-05-0.0009208486j),(0.0024267013-0.0021637782j),(-0.0036824105-0.0033902021j),(-0.0064637925-0.00061713001j),(-0.0078404789+0.0016253561j),(-0.009203455+0.0032737982j),(-0.011033057+0.0046479842j),(-0.013491077+0.0060369083j),(-0.016588762+0.0076857451j),(-0.020239239+0.009790565j),(-0.024291095+0.012487024j),(-0.028559793+0.01584499j),(-0.032855587+0.019872708j),(-0.037003585+0.024527615j),(-0.040856514+0.029730648j),(-0.044299914+0.035380245j),(-0.047252642+0.041364096j),(-0.049664313+0.047568237j),(-0.051511183+0.053883396j),(-0.052791578+0.060209045j),(-0.053521468+0.066455751j),(-0.053730445+0.07254632j),(-0.053458197+0.078416121j),(-0.052751466+0.084012857j),(-0.051661429+0.08929599j),(-0.050241501+0.094235954j),(-0.048545572+0.098813188j),(-0.046626536+0.10301696j),(-0.044534999+0.10684421j),(-0.042318399+0.11029852j),(-0.040020534+0.11338895j),(-0.037680986+0.11612877j),(-0.035334868+0.11853475j),(-0.033013021+0.12062609j),(-0.030741785+0.12242359j),(-0.028543364+0.12394918j),(-0.026436079+0.12522506j),(-0.024434468+0.12627351j),(-0.022549922+0.12711632j),(-0.020790646+0.12777457j),(-0.019162373+0.12826846j),(-0.01766832+0.12861702j),(-0.01630984+0.1288382j),(-0.015086385+0.12894859j),(-0.013996088+0.12896359j),(-0.013035692+0.12889729j),(-0.012201085+0.12876253j),(-0.011487189+0.12857095j),(-0.010888424+0.12833299j),(-0.010398614+0.12805807j),(-0.010011312+0.12775445j)
PU,SG,PU,L,1,5,1,-1,(8.2730333e-05-0.0009208486j),(0.0024267013-0.0021637782j),(-0.0036824105-0.0033902021j),(-0.0064637925-0.00061713001j),(-0.0078404789+0.0016253561j),(-0.009203455+0.0032737982j),(-0.011033057+0.0046479842j),(-0.013491077+0.0060369083j),(-0.016588762+0.0076857451j),(-0.020239239+0.009790565j),(-0.024291095+0.012487024j),(-0.028559793+0.01584499j),(-0.032855587+0.019872708j),(-0.037003585+0.024527615j),(-0.040856514+0.029730648j),(-0.044299914+0.035380245j),(-0.047252642+0.041364096j),(-0.049664313+0.047568237j),(-0.051511183+0.053883396j),(-0.052791578+0.060209045j),(-0.053521468+0.066455751j),(-0.053730445+0.07254632j),(-0.053458197+0.078416121j),(-0.052751466+0.084012857j),(-0.051661429+0.08929599j),(-0.050241501+0.094235954j),(-0.048545572+0.098813188j),(-0.046626536+0.10301696j),(-0.044534999+0.10684421j),(-0.042318399+0.11029852j),(-0.040020534+0.11338895j),(-0.037680986+0.11612877j),(-0.035334868+0.11853475j),(-0.033013021+0.12062609j),(-0.030741785+0.12242359j),(-0.028543364+0.12394918j),(-0.026436079+0.12522506j),(-0.024434468+0.12627351j),(-0.022549922+0.12711632j),(-0.020790646+0.12777457j),(-0.019162373+0.12826846j),(-0.01766832+0.12861702j),(-0.01630984+0.1288382j),(-0.015086385+0.12894859j),(-0.013996088+0.12896359j),(-0.013035692+0.12889729j),(-0.012201085+0.12876253j),(-0.011487189+0.12857095j),(-0.010888424+0.12833299j),(-0.010398614+0.12805807j),(-0.010011312+0.12775445j)
PU,SG,PU,L,1,7,-1,1,(-5.5754362e-06-9.3404516e-07j),(-2.1671045e-05+3.0018118e-05j),(6.9470404e-05-2.1293557e-05j),(-3.171347e-06-9.4608833e-05j),(-7.9515123e-05-5.7734491e-05j),(-8.7535338e-05+1.2812906e-05j),(-4.5981908e-05+6.3815754e-05j),(1.5256429e-05+8.6169787e-05j),(8.1603532e-05+9.0075429e-05j),(0.00015292833+8.651969e-05j),(0.00023575129+8.0140607e-05j),(0.00033669088+6.9166007e-05j),(0.00045911465+4.8169499e-05j),(0.00060248736+1.1052459e-05j),(0.00076330183-4.6918091e-05j),(0.00093653594-0.00012823056j),(0.0011169824-0.00023315876j),(0.0013001375-0.00036031497j),(0.0014826031-0.00050736867j),(0.0016621023-0.00067169015j),(0.0018372635-0.00085080107j),(0.0020073159-0.0010426092j),(0.0021717985-0.0012454631j),(0.0023303424-0.0014580867j),(0.002482543-0.0016794579j),(0.002627918-0.0019086809j),(0.0027659282-0.0021448789j),(0.0028960314-0.0023871219j),(0.0030177405-0.0026343994j),(0.0031306868-0.0028856352j),(0.0032346713-0.0031397074j),(0.0033296732-0.003395486j),(0.0034158576-0.0036518933j),(0.0034935735-0.0039079272j),(0.0035633052-0.004162696j),(0.0036256629-0.0044154519j),(0.0036813353-0.0046655758j),(0.0037310552-0.0049126078j),(0.0037755832-0.0051562129j),(0.0038156591-0.0053961918j),(0.0038520112-0.0056324501j),(0.0038853087-0.0058649915j),(0.0039161854-0.0060938958j),(0.0039451994-0.0063193071j),(0.0039728636-0.0065414145j),(0.0039996122-0.0067604467j),(0.0040258331-0.0069766499j),(0.004051842-0.0071902948j),(0.0040779086-0.007401647j),(0.004104245-0.007610988j),(0.0041310145-0.0078185796j)
PU,SG,PU,L,1,7,1,-1,(-5.5754362e-06-9.3404516e-07j),(-2.1671045e-05+3.0018118e-05j),(6.9470404e-05-2.1293557e-05j),(-3.171347e-06-9.4608833e-05j),(-7.9515123e-05-5.7734491e-05j),(-8.7535338e-05+1.2812906e-05j),(-4.5981908e-05+6.3815754e-05j),(1.5256429e-05+8.6169787e-05j),(8.1603532e-05+9.0075429e-05j),(0.00015292833+8.651969e-05j),(0.00023575129+8.0140607e-05j),(0.00033669088+6.9166007e-05j),(0.00045911465+4.8169499e-05j),(0.00060248736+1.1052459e-05j),(0.00076330183-4.6918091e-05j),(0.00093653594-0.00012823056j),(0.0011169824-0.00023315876j),(0.0013001375-0.00036031497j),(0.0014826031-0.00050736867j),(0.0016621023-0.00067169015j),(0.0018372635-0.00085080107j),(0.0020073159-0.0010426092j),(0.0021717985-0.0012454631j),(0.0023303424-0.0014580867j),(0.002482543-0.0016794579j),(0.002627918-0.0019086809j),(0.0027659282-0.0021448789j),(0.0028960314-0.0023871219j),(0.0030177405-0.0026343994j),(0.0031306868-0.0028856352j),(0.0032346713-0.0031397074j),(0.0033296732-0.003395486j),(0.0034158576-0.0036518933j),(0.0034935735-0.0039079272j),(0.0035633052-0.004162696j),(0.0036256629-0.0044154519j),(0.0036813353-0.0046655758j),(0.0037310552-0.0049126078j),(0.0037755832-0.0051562129j),(0.0038156591-0.0053961918j),(0.0038520112-0.0056324501j),(0.0038853087-0.0058649915j),(0.0039161854-0.0060938958j),(0.0039451994-0.0063193071j),(0.0039728636-0.0065414145j),(0.0039996122-0.0067604467j),(0.0040258331-0.0069766499j),(0.004051842-0.0071902948j),(0.0040779086-0.007401647j),(0.004104245-0.007610988j),(0.0041310145-0.0078185796j)
PU,SG,PU,L,1,9,-1,1,(6.9494194e-09-4.9806681e-08j),(-1.1196094e-06+7.9631298e-07j),(4.6620459e-06-1.6797086e-06j),(-3.2913674e-06-9.7659945e-06j),(-1.6278628e-05-3.0066164e-06j),(-1.8600522e-05+1.3452249e-05j),(-8.3378685e-06+2.7762141e-05j),(8.7209494e-06+3.3192376e-05j),(2.5923318e-05+2.8823305e-05j),(3.8663303e-05+1.7058329e-05j),(4.4804909e-05+1.3986571e-06j),(4.414597e-05-1.4867151e-05j),(3.7693314e-05-2.9249893e-05j),(2.7035218e-05-4.0207848e-05j),(1.388333e-05-4.7063492e-05j),(-2.2137901e-07-4.9815978e-05j),(-1.4067211e-05-4.8923962e-05j),(-2.6827929e-05-4.5101064e-05j),(-3.8047639e-05-3.9146506e-05j),(-4.758182e-05-3.1820591e-05j),(-5.5517281e-05-2.376583e-05j),(-6.2088547e-05-1.5468591e-05j),(-6.7602694e-05-7.2527343e-06j),(-7.2379487e-05+7.0453668e-07j),(-7.6709424e-05+8.3440254e-06j),(-8.0829147e-05+1.5690946e-05j),(-8.4911558e-05+2.2822164e-05j),(-8.9066846e-05+2.9838103e-05j),(-9.3350682e-05+3.6841512e-05j),(-9.7776567e-05+4.3923258e-05j),(-0.00010232898+5.1154047e-05j),(-0.00010697512+5.8581884e-05j),(-0.00011167552+6.6233455e-05j),(-0.00011639148+7.4116813e-05j),(-0.00012108951+8.2226559e-05j),(-0.00012574488+9.0548423e-05j),(-0.00013034144+9.9063187e-05j),(-0.00013487188+0.00010775121j),(-0.00013933604+0.00011659381j),(-0.00014373908+0.00012557634j),(-0.00014809017+0.00013468772j),(-0.00015239998+0.00014392202j),(-0.00015668032+0.00015327686j),(-0.00016094184+0.00016275421j),(-0.00016519455+0.00017235832j),(-0.00016944616+0.00018209635j),(-0.00017370288+0.00019197611j),(-0.00017796875+0.00020200716j),(-0.00018224596+0.00021219836j),(-0.00018653539+0.00022255941j),(-0.00019083592+0.00023309884j)
PU,SG,PU,L,1,9,1,-1,(6.9494194e-09-4.9806681e-08j),(-1.1196094e-06+7.9631298e-07j),(4.6620459e-06-1.6797086e-06j),(-3.2913674e-06-9.7659945e-06j),(-1.6278628e-05-3.0066164e-06j),(-1.8600522e-05+1.3452249e-05j),(-8.3378685e-06+2.7762141e-05j),(8.7209494e-06+3.3192376e-05j),(2.5923318e-05+2.8823305e-05j),(3.8663303e-05+1.7058329e-05j),(4.4804909e-05+1.3986571e-06j),(4.414597e-05-1.4867151e-05j),(3.7693314e-05-2.9249893e-05j),(2.7035218e-05-4.0207848e-05j),(1.388333e-05-4.7063492e-05j),(-2.2137901e-07-4.9815978e-05j),(-1.4067211e-05-4.8923962e-05j),(-2.6827929e-05-4.5101064e-05j),(-3.8047639e-05-3.9146506e-05j),(-4.758182e-05-3.1820591e-05j),(-5.5517281e-05-2.376583e-05j),(-6.2088547e-05-1.5468591e-05j),(-6.7602694e-05-7.2527343e-06j),(-7.2379487e-05+7.0453668e-07j),(-7.6709424e-05+8.3440254e-06j),(-8.0829147e-05+1.5690946e-05j),(-8.4911558e-05+2.2822164e-05j),(-8.9066846e-05+2.9838103e-05j),(-9.3350682e-05+3.6841512e-05j),(-9.7776567e-05+4.3923258e-05j),(-0.00010232898+5.1154047e-05j),(-0.00010697512+5.8581884e-05j),(-0.00011167552+6.6233455e-05j),(-0.00011639148+7.4116813e-05j),(-0.00012108951+8.2226559e-05j),(-0.00012574488+9.0548423e-05j),(-0.00013034144+9.9063187e-05j),(-0.00013487188+0.00010775121j),(-0.00013933604+0.00011659381j),(-0.00014373908+0.00012557634j),(-0.00014809017+0.00013468772j),(-0.00015239998+0.00014392202j),(-0.00015668032+0.00015327686j),(-0.00016094184+0.00016275421j),(-0.00016519455+0.00017235832j),(-0.00016944616+0.00018209635j),(-0.00017370288+0.00019197611j),(-0.00017796875+0.00020200716j),(-0.00018224596+0.00021219836j),(-0.00018653539+0.00022255941j),(-0.00019083592+0.00023309884j)
